index  confidence   rules
 197   0.876        ['Saturday', 'morning', 'March']=>['weekend']
 198   0.875        ['Friday']=>['weekday']
 199   0.875        ['morning', 'Friday']=>['weekday']
 200   0.872        ['weekend', 'Sunday', 'evening']=>['April']
 201   0.869        ['morning', 'September']=>['weekday']
 202   0.869        ['Saturday', 'afternoon']=>['weekend']
 203   0.861        ['evening', 'Thursday']=>['weekday']
 204   0.851        ['Tuesday']=>['weekday']
 205   0.844        ['August', 'Friday', 'afternoon']=>['weekend']
 206   0.844        ['evening', 'March']=>['weekday']
 207   0.839        ['weekend', 'August', 'morning']=>['Friday']
 208   0.839        ['Saturday', 'March']=>['weekend']
 209   0.825        ['Saturday', 'afternoon', 'March']=>['weekend']
 210   0.825        ['August', 'Tuesday']=>['afternoon']
 211   0.825        ['weekend', 'August', 'Tuesday']=>['afternoon']
 212   0.825        ['August', 'Tuesday']=>['weekend', 'afternoon']
 213   0.825        ['Tuesday', 'afternoon']=>['weekday']
 214   0.824        ['evening', 'Friday']=>['weekday']
 215   0.821        ['evening', 'April']=>['weekend']
 216   0.813        ['weekend', 'afternoon', 'Monday']=>['April']
 217   0.811        ['Sunday', 'afternoon']=>['weekend']
 218   0.810        ['evening', 'April']=>['Sunday']
 219   0.810        ['evening', 'April']=>['weekend', 'Sunday']
 220   0.803        ['Sunday']=>['weekend']
 221   0.797        ['Sunday', 'morning']=>['weekend']
 222   0.792        ['July', 'morning']=>['weekday']
 223   0.789        ['Sunday', 'morning', 'October']=>['weekend']
 224   0.788        ['weekend', 'Monday']=>['April']
 225   0.769        ['weekend', 'May', 'morning']=>['Wednesday']
 226   0.756        ['August', 'Friday']=>['weekend']
 227   0.748        ['weekend', 'morning', 'Monday']=>['April']
 228   0.746        ['July']=>['weekday']
 229   0.738        ['August', 'Wednesday']=>['afternoon']
 230   0.738        ['weekday', 'August', 'Wednesday']=>['afternoon']
 231   0.738        ['August', 'Wednesday']=>['weekday', 'afternoon']
 232   0.736        ['Sunday', 'evening']=>['weekend']
 233   0.734        ['June', 'afternoon']=>['weekday']
 234   0.733        ['June']=>['weekday']
 235   0.733        ['weekday', 'May', 'afternoon']=>['Thursday']
 236   0.732        ['weekday', 'May']=>['Thursday']
 237   0.731        ['morning', 'June']=>['weekday']
 238   0.723        ['January', 'evening']=>['weekday']
 239   0.723        ['morning', 'Friday', 'November']=>['weekday']
 240   0.722        ['December', 'evening']=>['weekday']
 241   0.720        ['Saturday', 'evening']=>['weekend']
 242   0.720        ['morning', 'March']=>['weekday']
 243   0.720        ['March']=>['weekday']
 244   0.718        ['afternoon', 'Wednesday']=>['weekday']
 245   0.715        ['afternoon', 'March']=>['weekday']
 246   0.712        ['weekday', 'August', 'Friday']=>['morning']
 247   0.709        ['weekday', 'May', 'morning']=>['Thursday']
 248   0.705        ['Sunday', 'October']=>['weekend']
 249   0.701        ['weekend', 'May']=>['Wednesday']
